R02164_S,K00235,K00239,K00240,K00241,K00242
R02164_F,K00244,K00245,K00246,K00247,
R0_glutamic_1,K00164,K00658,,,
R0_glutamic_2,K00174,K00175,K00176,K00177,
R0_citrate_1,K01647,K01648,,,
R0_citrate_2,K15230,K15231,,,
R00342,K00024,K00025,K00026,
R00360,K00116,,,,
