bins	SAMPLE_BIOF3_01	SAMPLE_BIOF4_02
bin_000	0.4614132649757173	0.46636975541790665
bin_001_Chloroflexi	31.465025342670877	33.63837179599539
bin_002_Unknown	19.044303539941588	21.80727256265504
bin_003_Planctomycetes	10.191483612446552	8.562734728700738
bin_004_Proteobacteria	5.8532820198997495	5.429466488745232
bin_005_Chloroflexi	5.804682536399148	6.492474479706469
bin_006_Proteobacteria	4.623692629216194	4.922944714111667
bin_007_Acidobacteria	4.391235145287529	4.0690855003367705
bin_008_Planctomycetes	4.047002289049597	3.9556436085090847
bin_009_Firmicutes	4.034339768192397	3.9192084341178646
bin_010_Ignavibacteriae	3.1827554771797053	2.6091483871962664
bin_011	2.880379837033578	2.95834230686002
bin_012_Verrucomicrobia	2.059508048882578	1.7661309108437466
bin_013_mixed	1.9240173620583576	2.063572410906729
bin_014_Proteobacteria	1.8899651276035236	1.4786316989683774
bin_015	2.1245180087228324	2.1659844868123463
bin_016_Proteobacteria	1.6678244727401663	1.3083707692974564
bin_017	1.4054459993223796	1.223589149012863
bin_018_Bacteroidetes	1.387538453640856	1.372202083280216
bin_019_Proteobacteria	1.3736104576275703	1.105416375352383
bin_020_Ignavibacteriae	1.166285337156845	1.222576444961313
bin_021	1.1144906465435713	1.1131052857733796
bin_021_rest	1.1431954475621173	1.10024074873693
bin_022_Armatimonadetes	1.088481889958831	0.9416120382768945
bin_023_Proteobacteria	0.9262248600808559	0.9602923731059064
bin_024	0.9314060431703539	0.8010604201687518
bin_025_Proteobacteria	0.8988568616826904	0.8335471599934627
bin_026_Chloroflexi	0.8301340069790278	0.6199649933200961
bin_027	0.6414483026302706	0.7520978873528743
bin_028	0.6351769066387374	0.5280317996828807
bin_029_Proteobacteria	0.5834258190773002	0.4953279760789211
bin_030_Verrucomicrobia	0.4961186577295156	0.3758348413971277
bin_031_Chloroflexi	0.43182391825042826	0.4079235848064359
bin_032_Bacteroidetes	0.4241648714430706	0.41808345052078966
bin_033_Ignavibacteriae	0.4064815651943764	0.35526325589825547
bin_034_Proteobacteria	0.35566713336618466	0.3238367993507904
bin_035	0.33295747005516013	0.2705632867563571
bin_036_Proteobacteria	0.32917248589771714	0.2356154843515446
bin_037	0.33233397755523697	0.33661982685125846
bin_038_Gemmatimonadetes	0.30682236049220674	0.24531453190882277
bin_039_Chloroflexi	0.28585874629875885	0.252353093236323
bin_041_Chloroflexi	0.27506351769300935	0.25393513606772133
bin_042_Chloroflexi	0.2549085397592712	0.24157584850374528
bin_043	0.2651969544880845	0.41258132734152897
