R_tmoABCDEF,K15760,K15761,K15762,K15763,K15764,K15765
R_dmpKLMNOP,K16249,K16243,K12635,K16242,K16245,K16246
R_dmpB,K00446,K07104,K16270 
R_dmpC,K10217,K23234 
R_dmpI,K01821  
R_dmpH,K01617 
R_dmpD,K10216 
R_dmpE,K18364
R_dmpG,K01666
R_dmpF,K00132,K04021,K04072,K04073,K18366 
