"","B1","B3","B4","E1","E2","E3"
"scaffold_469_partial_108556_151908_19",74,18,139,35,204,93
"scaffold_469_partial_108556_151908_20",58,11,146,80,329,148
"scaffold_469_partial_108556_151908_21",63,4,161,25,132,68
"scaffold_469_partial_108556_151908_22",22,2,31,44,154,78
"scaffold_469_partial_108556_151908_23",59,4,89,23,100,59
"scaffold_469_partial_108556_151908_24",0,5,38,1,12,2
"scaffold_469_partial_108556_151908_25",13,11,137,10,46,14
"scaffold_469_partial_108556_151908_26",135,6,206,97,355,198
"scaffold_469_partial_108556_151908_27",40,2,94,78,236,112
"scaffold_469_partial_108556_151908_28",100,11,165,34,202,68
"scaffold_469_partial_108556_151908_29",2,0,17,7,7,6
"scaffold_469_partial_108556_151908_30",18,5,24,9,24,9
"scaffold_469_partial_108556_151908_31",6,0,14,2,1,2
"scaffold_469_partial_108556_151908_32",0,0,4,0,1,3
"scaffold_469_partial_108556_151908_33",0,0,11,0,0,0
"scaffold_469_partial_108556_151908_34",68,18,250,28,129,62
"scaffold_469_partial_108556_151908_35",14,3,29,13,59,21
"scaffold_469_partial_108556_151908_36",0,0,1,4,1,4
"scaffold_469_partial_108556_151908_37",3,0,11,3,23,3
"scaffold_469_partial_108556_151908_38",23,8,66,24,97,55
"scaffold_469_partial_108556_151908_39",139,20,399,192,715,310
"scaffold_469_partial_108556_151908_40",23,11,65,16,98,46
"scaffold_469_partial_108556_151908_41",4,0,3,2,15,3
"scaffold_556_partial_0_89221_1",9,6,53,7,29,15
"scaffold_556_partial_0_89221_2",123,39,294,19,69,34
"scaffold_556_partial_0_89221_3",86,10,132,42,121,58
"scaffold_556_partial_0_89221_4",16,10,43,13,74,23
"scaffold_556_partial_0_89221_5",2,4,12,5,30,15
"scaffold_556_partial_0_89221_6",7,0,40,9,52,27
"scaffold_556_partial_0_89221_7",5,0,26,6,24,4
"scaffold_556_partial_0_89221_8",0,0,7,6,16,3
"scaffold_556_partial_0_89221_9",8,2,28,4,24,10
"scaffold_556_partial_0_89221_10",1,0,5,3,7,6
"scaffold_556_partial_0_89221_11",5,3,23,5,43,16
"scaffold_556_partial_0_89221_12",7,3,18,1,16,1
"scaffold_556_partial_0_89221_13",17,4,41,3,19,13
"scaffold_556_partial_0_89221_14",75,26,171,65,142,73
"scaffold_556_partial_0_89221_15",40,4,83,24,88,63
"scaffold_556_partial_0_89221_16",16,2,20,5,16,8
"scaffold_556_partial_0_89221_17",0,0,8,7,14,5
"scaffold_556_partial_0_89221_18",5,4,15,2,14,7
"scaffold_556_partial_0_89221_19",1,0,14,7,23,10
"scaffold_556_partial_0_89221_20",0,0,0,1,1,4
"scaffold_556_partial_0_89221_21",2,0,27,4,17,4
"scaffold_556_partial_0_89221_22",2,0,8,2,10,6
"scaffold_556_partial_0_89221_23",6,2,27,9,27,7
"scaffold_556_partial_0_89221_24",6,0,16,4,14,5
"scaffold_556_partial_0_89221_25",14,2,17,7,9,2
"scaffold_556_partial_0_89221_26",0,0,9,2,9,1
"scaffold_556_partial_0_89221_27",0,3,0,0,0,0
"scaffold_556_partial_0_89221_28",0,0,7,0,0,1
"scaffold_556_partial_0_89221_29",0,0,2,0,3,2
"scaffold_556_partial_0_89221_30",0,0,4,0,1,1
"scaffold_556_partial_0_89221_31",0,0,0,0,0,0
"scaffold_556_partial_0_89221_32",0,0,0,0,0,0
"scaffold_556_partial_0_89221_33",26,9,80,25,138,66
"scaffold_556_partial_0_89221_34",8,5,50,5,20,7
"scaffold_556_partial_0_89221_35",1,1,25,9,68,30
"scaffold_556_partial_0_89221_36",614,122,1052,781,2009,1153
"scaffold_556_partial_0_89221_37",197,40,768,478,1938,952
"scaffold_556_partial_0_89221_38",366,64,760,111,432,203
"scaffold_556_partial_0_89221_39",246,65,528,92,474,218
"scaffold_556_partial_0_89221_40",66,34,200,29,176,94
"scaffold_556_partial_0_89221_41",70,31,227,63,282,138
"scaffold_556_partial_0_89221_42",292,37,472,150,656,405
"scaffold_556_partial_0_89221_43",81,11,169,39,149,73
"scaffold_556_partial_0_89221_44",24,0,42,20,28,31
"scaffold_556_partial_0_89221_45",7,4,7,3,4,8
"scaffold_556_partial_0_89221_46",9,0,22,4,25,3
"scaffold_556_partial_0_89221_47",10,4,38,5,16,13
"scaffold_556_partial_0_89221_48",4,0,19,3,13,16
"scaffold_556_partial_0_89221_49",0,0,0,0,0,0
"scaffold_556_partial_0_89221_50",0,0,0,0,0,0
"scaffold_556_partial_0_89221_51",68,12,120,132,522,311
"scaffold_556_partial_0_89221_52",5,0,18,18,95,36
"scaffold_556_partial_0_89221_53",6,0,20,3,13,3
"scaffold_556_partial_0_89221_54",7,0,37,7,34,16
"scaffold_556_partial_0_89221_55",10,0,49,18,84,34
"scaffold_556_partial_0_89221_56",0,0,1,3,6,4
"scaffold_556_partial_0_89221_57",35,6,60,78,256,149
"scaffold_556_partial_0_89221_58",25,6,83,8,82,34
"scaffold_556_partial_0_89221_59",14,2,39,11,61,19
"scaffold_556_partial_0_89221_60",4,0,10,6,15,11
"scaffold_556_partial_0_89221_61",6,4,8,15,13,7
"scaffold_556_partial_0_89221_62",4,0,8,0,0,0
"scaffold_556_partial_0_89221_63",71,12,152,41,136,85
"scaffold_556_partial_0_89221_64",196,31,274,91,408,184
"scaffold_556_partial_0_89221_65",185,39,495,120,454,224
"scaffold_556_partial_0_89221_66",1,0,13,2,29,8
"scaffold_556_partial_0_89221_67",0,0,0,0,0,0
"scaffold_556_partial_0_89221_68",0,0,0,0,0,0
"scaffold_556_partial_0_89221_69",8,0,43,2,45,8
"scaffold_556_partial_0_89221_70",72,10,111,37,169,78
"scaffold_556_partial_0_89221_71",13,0,25,1,2,0
"scaffold_556_partial_0_89221_72",21,3,95,43,199,120
"scaffold_556_partial_0_89221_73",81,14,205,93,320,184
"scaffold_556_partial_0_89221_74",66,10,216,30,162,62
"scaffold_556_partial_0_89221_75",3,1,17,5,18,17
"scaffold_556_partial_0_89221_76",9,7,15,13,60,31
"scaffold_556_partial_0_89221_77",165,32,444,191,881,444
"scaffold_556_partial_0_89221_78",140,22,237,90,373,151
"scaffold_556_partial_0_89221_79",69,11,135,38,129,58
"scaffold_556_partial_0_89221_80",80,18,199,58,213,109
"scaffold_556_partial_0_89221_81",50,6,93,29,163,64
"scaffold_556_partial_0_89221_82",68,15,212,117,386,148
"scaffold_556_partial_110682_154994_1",4889,1420,10372,4218,15769,8285
"scaffold_556_partial_110682_154994_2",12,2,21,5,17,7
"scaffold_556_partial_110682_154994_3",15,3,47,14,48,24
"scaffold_556_partial_110682_154994_4",1,0,7,1,14,4
"scaffold_556_partial_110682_154994_5",22,4,90,13,87,45
"scaffold_556_partial_110682_154994_6",49,4,210,78,369,148
"scaffold_556_partial_110682_154994_7",27,0,62,19,105,50
"scaffold_556_partial_110682_154994_8",2,0,17,0,13,8
"scaffold_556_partial_110682_154994_9",8,2,19,7,12,15
"scaffold_556_partial_110682_154994_10",0,3,5,2,1,9
"scaffold_556_partial_110682_154994_11",2,1,17,1,12,3
"scaffold_556_partial_110682_154994_12",0,0,2,0,0,0
"scaffold_556_partial_110682_154994_13",3,0,6,0,4,2
"scaffold_556_partial_110682_154994_14",0,0,7,0,2,4
"scaffold_556_partial_110682_154994_15",0,2,16,3,9,7
"scaffold_556_partial_110682_154994_16",0,3,37,0,11,4
"scaffold_556_partial_110682_154994_17",1,0,14,0,0,0
"scaffold_556_partial_110682_154994_18",1,0,25,0,4,9
"scaffold_556_partial_110682_154994_19",3,2,19,0,2,1
"scaffold_556_partial_110682_154994_20",0,0,5,2,2,3
"scaffold_556_partial_110682_154994_21",0,0,9,0,0,0
"scaffold_556_partial_110682_154994_22",5,10,162,21,64,37
"scaffold_556_partial_110682_154994_23",0,2,61,0,4,1
"scaffold_556_partial_110682_154994_24",78,11,206,27,117,66
"scaffold_556_partial_110682_154994_25",77,21,219,24,139,84
"scaffold_556_partial_110682_154994_26",2,2,16,2,5,4
"scaffold_556_partial_110682_154994_27",2,2,1,0,8,4
"scaffold_556_partial_110682_154994_28",0,0,1,1,1,1
"scaffold_556_partial_110682_154994_29",0,0,1,0,8,0
"scaffold_556_partial_110682_154994_30",1,0,18,1,7,3
"scaffold_556_partial_110682_154994_31",0,3,0,0,0,0
"scaffold_556_partial_110682_154994_32",0,0,1,0,2,0
"scaffold_556_partial_110682_154994_33",0,0,1,6,11,4
"scaffold_556_partial_110682_154994_34",7,0,34,10,43,14
"scaffold_556_partial_110682_154994_35",5,6,9,5,16,6
"scaffold_556_partial_110682_154994_36",150,30,337,118,541,295
"scaffold_556_partial_110682_154994_37",25,3,71,31,126,50
"scaffold_556_partial_110682_154994_38",54,13,85,20,99,41
"scaffold_556_partial_110682_154994_39",13,1,18,4,18,11
"scaffold_556_partial_110682_154994_40",18,1,146,9,58,16
"scaffold_556_partial_110682_154994_41",42,2,44,13,64,19
"scaffold_556_partial_110682_154994_42",235,41,477,151,672,363
"scaffold_556_partial_110682_154994_43",150,41,281,134,394,241
"scaffold_556_partial_110682_154994_44",38,3,79,6,62,38
"scaffold_21238_1",10,3,48,58,334,144
"scaffold_21238_2",2,0,29,3,28,18
"scaffold_21238_3",37,4,97,9,78,42
"scaffold_21238_4",51,4,117,53,185,96
"scaffold_396_1",1,0,15,3,19,1
"scaffold_396_2",2,0,13,6,17,8
"scaffold_396_3",0,0,0,0,0,0
"scaffold_396_4",30,4,46,6,26,14
"scaffold_396_5",12,7,48,8,40,33
"scaffold_396_6",16,4,54,6,48,33
"scaffold_396_7",1,3,12,1,9,4
"scaffold_396_8",1,0,5,1,24,4
"scaffold_396_9",4,3,19,10,11,17
"scaffold_396_10",37,6,124,10,31,17
"scaffold_396_11",131,23,316,134,678,325
"scaffold_396_12",2,0,7,3,18,6
"scaffold_396_13",0,0,4,4,1,0
"scaffold_396_14",1,0,2,1,5,0
"scaffold_396_15",43,4,71,9,67,29
"scaffold_396_16",4,2,31,8,22,7
"scaffold_396_17",0,0,1,0,0,0
"scaffold_396_18",0,1,1,1,0,0
"scaffold_396_19",0,0,5,2,0,0
"scaffold_396_20",0,1,4,0,1,4
"scaffold_396_21",3,0,1,0,3,1
"scaffold_396_22",70,20,306,135,676,331
"scaffold_396_23",15,2,38,2,15,9
"scaffold_396_24",5,1,30,3,18,20
"scaffold_396_25",12,3,36,3,32,21
"scaffold_396_26",3,8,66,16,44,23
"scaffold_396_27",0,3,24,0,9,2
"scaffold_396_28",6,9,21,6,28,10
"scaffold_396_29",0,1,2,1,7,3
"scaffold_396_30",2,0,13,20,24,23
"scaffold_396_31",4,2,6,2,11,3
"scaffold_396_32",3,1,33,2,29,2
"scaffold_396_33",18,1,44,20,71,32
"scaffold_396_34",1,1,1,0,0,3
"scaffold_396_35",5,0,8,8,24,8
"scaffold_396_36",3,3,17,2,24,15
"scaffold_396_37",0,0,9,1,21,6
"scaffold_396_38",73,14,187,16,113,54
"scaffold_396_39",13,10,62,23,65,28
"scaffold_396_40",15,1,47,8,63,37
"scaffold_396_41",1,0,11,9,13,15
"scaffold_396_42",1,0,14,8,9,8
"scaffold_396_43",1,1,20,4,34,21
"scaffold_396_44",10,1,38,5,27,12
"scaffold_396_45",4,0,0,0,0,3
"scaffold_396_46",119,24,408,137,519,239
"scaffold_396_47",187,52,489,197,716,370
"scaffold_396_48",3,0,7,2,16,6
"scaffold_396_49",0,0,1,0,5,2
"scaffold_396_50",3,1,7,8,26,18
"scaffold_396_51",62,9,161,77,322,167
"scaffold_396_52",2,3,8,8,14,9
"scaffold_396_53",50,5,115,30,107,37
"scaffold_396_54",1,0,7,2,8,4
"scaffold_396_55",11,6,32,0,13,7
"scaffold_396_56",174,39,411,75,311,175
"scaffold_396_57",40,5,90,36,101,53
"scaffold_396_58",52,6,58,7,45,17
"scaffold_396_59",111,17,176,53,115,87
"scaffold_396_60",23,1,42,16,78,22
"scaffold_396_61",3,2,3,0,2,5
"scaffold_396_62",1,3,20,4,23,19
"scaffold_396_63",1,0,6,1,5,4
"scaffold_396_64",3,1,11,4,14,5
"scaffold_396_65",0,0,6,1,3,0
"scaffold_396_66",12,5,38,13,66,52
"scaffold_396_67",4,2,23,1,3,3
"scaffold_396_68",2,0,29,1,8,5
"scaffold_396_69",1,0,17,0,7,2
"scaffold_396_70",4,0,23,13,24,10
"scaffold_396_71",1,0,6,0,9,9
"scaffold_396_72",2,0,5,2,16,9
"scaffold_396_73",3,0,5,10,24,6
"scaffold_396_74",0,0,5,2,5,4
"scaffold_396_75",0,0,4,4,8,2
"scaffold_396_76",1,0,4,2,18,9
"scaffold_396_77",3,0,2,0,14,7
"scaffold_396_78",2,0,6,2,9,5
"scaffold_396_79",0,3,4,1,6,3
"scaffold_396_80",0,0,0,0,0,0
"scaffold_396_81",26,8,75,8,60,22
"scaffold_396_82",101,13,176,58,265,99
"scaffold_396_83",60,23,157,58,218,131
"scaffold_396_84",61,8,125,61,197,103
"scaffold_396_85",12,4,10,7,16,11
"scaffold_396_86",7,1,34,7,11,11
"scaffold_455_1",8,1,21,3,14,8
"scaffold_455_2",7,0,15,3,20,3
"scaffold_455_3",3,0,2,3,15,5
"scaffold_455_4",76,7,381,192,405,171
"scaffold_455_5",0,0,7,2,9,5
"scaffold_455_6",20,3,41,35,63,37
"scaffold_455_7",0,4,3,2,9,10
"scaffold_455_8",0,0,0,1,10,16
"scaffold_455_9",38,3,80,14,71,32
"scaffold_455_10",27,1,71,40,136,66
"scaffold_455_11",12,8,17,10,17,22
"scaffold_455_12",49,6,81,10,38,21
"scaffold_455_13",0,3,6,1,9,2
"scaffold_455_14",7,2,36,6,60,21
"scaffold_455_15",4,0,16,0,13,0
"scaffold_455_16",0,0,1,0,3,0
"scaffold_455_17",0,0,0,0,0,0
"scaffold_455_18",0,0,0,0,9,5
"scaffold_455_19",0,1,0,0,1,0
"scaffold_455_20",56,7,116,74,332,160
"scaffold_455_21",0,0,0,1,0,0
"scaffold_455_22",0,0,1,0,0,0
"scaffold_455_23",0,0,0,0,4,0
"scaffold_455_24",0,0,4,0,0,0
"scaffold_455_25",0,0,6,0,1,3
"scaffold_455_26",1,0,3,2,7,1
"scaffold_455_27",1,0,1,0,1,1
"scaffold_455_28",0,0,0,0,1,0
"scaffold_455_29",0,0,0,0,0,0
"scaffold_455_30",0,0,0,0,2,0
"scaffold_455_31",2,0,3,0,0,0
"scaffold_455_32",47,20,164,19,88,51
"scaffold_455_33",59,4,129,24,87,50
"scaffold_455_34",34,7,154,38,168,95
"scaffold_455_35",31,4,103,18,132,65
"scaffold_455_36",35,13,138,57,181,109
"scaffold_455_37",1,0,11,0,18,9
"scaffold_455_38",52,18,101,14,30,21
"scaffold_455_39",24,5,101,19,67,24
"scaffold_455_40",55,7,210,79,255,113
"scaffold_455_41",0,0,0,0,0,0
"scaffold_455_42",0,0,5,1,7,6
"scaffold_455_43",9,0,33,4,22,20
"scaffold_455_44",16,4,27,8,54,14
"scaffold_455_45",10,5,24,3,19,14
"scaffold_455_46",107,27,575,195,540,283
"scaffold_455_47",70,15,137,27,101,47
"scaffold_455_48",50,16,128,14,72,31
"scaffold_455_49",19,8,79,8,38,18
"scaffold_455_50",29,14,144,83,408,175
"scaffold_455_51",121,24,214,44,302,127
"scaffold_455_52",87,16,219,63,156,102
"scaffold_455_53",86,25,283,107,319,150
"scaffold_455_54",51,16,219,102,505,209
"scaffold_455_55",42,7,142,39,185,80
"scaffold_455_56",42,5,103,50,155,72
"scaffold_455_57",30,3,33,12,37,9
"scaffold_455_58",0,0,0,0,0,0
"scaffold_455_59",70,5,259,104,349,187
"scaffold_455_60",16,4,39,5,61,26
"scaffold_455_61",31,2,85,37,155,70
"scaffold_455_62",0,1,14,10,50,44
"scaffold_455_63",7,5,51,12,87,48
"scaffold_455_64",11,3,14,2,12,13
"scaffold_455_65",0,5,10,7,16,9
"scaffold_455_66",2,1,11,2,14,6
"scaffold_455_67",0,4,5,2,3,0
"scaffold_455_68",0,0,0,0,0,0
"scaffold_455_69",0,0,0,0,0,0
"scaffold_455_70",7,2,30,3,18,16
"scaffold_455_71",24,4,87,7,50,29
"scaffold_455_72",3,0,7,0,5,4
"scaffold_455_73",0,0,12,0,1,2
"scaffold_455_74",0,0,0,0,0,0
"scaffold_455_75",9,2,2,7,29,14
"scaffold_455_76",11,1,15,6,53,12
"scaffold_455_77",9,4,28,8,24,16
"scaffold_455_78",1,1,0,0,0,1
"scaffold_455_79",0,0,1,0,3,2
"scaffold_455_80",16,6,21,0,12,3
"scaffold_455_81",13,9,50,9,39,15
"scaffold_455_82",10,4,14,1,18,7
"scaffold_455_83",1,1,11,4,19,10
"scaffold_455_84",2,0,12,3,3,11
"scaffold_455_85",1,0,1,1,0,6
"scaffold_455_86",0,0,0,0,3,1
"scaffold_455_87",0,0,0,0,0,0
"scaffold_455_88",4,0,3,0,1,1
"scaffold_455_89",34,4,78,29,152,61
"scaffold_455_90",56,8,135,50,217,117
"scaffold_455_91",14,0,32,18,26,30
"scaffold_455_92",0,0,1,10,10,2
"scaffold_455_93",0,1,4,0,0,1
"scaffold_455_94",0,2,3,1,3,0
"scaffold_455_95",2,0,1,0,3,2
"scaffold_455_96",133,29,204,49,222,99
"scaffold_455_97",3,3,30,4,24,1
"scaffold_455_98",83,17,222,80,353,146
"scaffold_455_99",53,9,141,3,31,14
"scaffold_455_100",4,0,2,0,0,0
"scaffold_455_101",467,53,903,379,1753,909
"scaffold_455_102",16,2,25,7,11,10
"scaffold_455_103",0,0,0,0,0,0
"scaffold_455_104",0,0,0,0,0,0
"scaffold_455_105",3,3,19,4,15,7
"scaffold_455_106",0,2,6,3,2,5
"scaffold_455_107",3,1,4,0,11,5
"scaffold_455_108",0,0,4,0,0,3
"scaffold_455_109",0,0,0,2,0,0
"scaffold_455_110",0,0,10,0,0,0
"scaffold_455_111",0,0,0,2,2,0
