"","B1","B3","B4","E1","E2","E3"
"scaffold_5146_1",0,0,0,9,10,15
"scaffold_5146_2",0,0,8,7,7,12
"scaffold_5146_3",0,0,20,11,22,13
"scaffold_5146_4",0,2,8,7,29,23
"scaffold_5146_5",0,0,6,9,21,12
"scaffold_5146_6",0,3,6,62,156,86
"scaffold_5146_7",1,0,27,27,76,44
"scaffold_5146_8",2,0,29,9,35,23
"scaffold_5146_9",6,1,46,48,88,77
"scaffold_5146_10",0,0,4,8,13,14
"scaffold_5146_11",0,0,10,4,1,6
"scaffold_5146_12",7,7,52,32,58,45
"scaffold_5146_13",0,0,0,0,0,1
"scaffold_35673_1",1,0,0,0,0,0
"scaffold_35673_2",0,0,0,0,0,0
"scaffold_35673_3",0,0,0,0,0,0
"scaffold_35673_4",0,1,3,2,2,3
"scaffold_37105_1",0,0,0,0,0,0
"scaffold_37105_2",0,0,0,0,0,0
"scaffold_37105_3",0,0,0,0,0,0
"scaffold_87505_1",0,0,0,0,0,0
"scaffold_87505_2",0,0,0,0,0,0
"scaffold_61800_1",0,0,4,0,0,0
"scaffold_61800_2",0,0,0,0,0,0
"scaffold_8832_1",0,0,10,2,1,4
"scaffold_8832_2",0,0,7,5,13,5
"scaffold_8832_3",1,1,5,3,16,13
"scaffold_8832_4",0,0,8,2,8,7
"scaffold_21562_1",0,0,0,0,0,3
"scaffold_21562_2",2,10,31,37,87,99
"scaffold_21562_3",0,0,0,3,1,0
"scaffold_6107_1",0,0,0,0,0,0
"scaffold_6107_2",0,0,0,0,0,0
"scaffold_6107_3",0,0,0,0,0,0
"scaffold_6107_4",0,0,0,0,0,0
"scaffold_6107_5",0,0,0,0,0,0
"scaffold_6107_6",0,0,0,0,0,0
"scaffold_6107_7",0,0,0,0,0,0
"scaffold_6107_8",0,0,4,0,0,0
"scaffold_6107_9",0,0,0,0,0,0
"scaffold_6107_10",0,0,0,0,0,0
"scaffold_6107_11",0,0,0,0,0,0
"scaffold_6107_12",0,1,15,3,8,4
"scaffold_75436_1",0,0,0,0,0,0
"scaffold_75436_2",0,0,0,0,0,0
"scaffold_74644_1",0,0,0,0,0,0
"scaffold_74644_2",0,0,0,0,0,0
"scaffold_87577_1",0,0,0,0,0,0
"scaffold_87577_2",2,3,1,1,0,0
"scaffold_65505_1",0,0,0,0,0,0
"scaffold_65505_2",0,0,0,0,0,0
"scaffold_18775_1",0,0,1,0,0,0
"scaffold_18775_2",0,0,0,0,0,0
"scaffold_18775_3",0,0,5,0,0,0
"scaffold_55276_1",0,0,0,0,0,0
