"","B1","B3","B4","E1","E2","E3"
"scaffold_74_partial_0_150574_1",0,0,9,0,1,0
"scaffold_74_partial_0_150574_2",0,0,2,0,0,0
"scaffold_74_partial_0_150574_3",0,0,5,0,6,1
"scaffold_74_partial_0_150574_4",1,0,2,0,6,3
"scaffold_74_partial_0_150574_5",0,0,3,1,0,1
"scaffold_74_partial_0_150574_6",0,0,0,0,0,0
"scaffold_74_partial_0_150574_7",0,0,0,0,0,0
"scaffold_74_partial_0_150574_8",0,2,2,0,0,0
"scaffold_74_partial_0_150574_9",0,0,0,0,0,0
"scaffold_74_partial_0_150574_10",0,0,0,0,0,0
"scaffold_74_partial_0_150574_11",0,0,0,0,0,0
"scaffold_74_partial_0_150574_12",0,0,0,0,0,0
"scaffold_74_partial_0_150574_13",3,0,1,0,0,0
"scaffold_74_partial_0_150574_14",0,0,0,0,0,0
"scaffold_74_partial_0_150574_15",0,0,5,0,1,0
"scaffold_74_partial_0_150574_16",0,0,0,0,0,0
"scaffold_74_partial_0_150574_17",0,0,10,0,2,0
"scaffold_74_partial_0_150574_18",3,0,13,2,9,3
"scaffold_74_partial_0_150574_19",1,0,0,1,0,0
"scaffold_74_partial_0_150574_20",0,0,2,0,0,0
"scaffold_74_partial_0_150574_21",0,0,4,0,0,0
"scaffold_74_partial_0_150574_22",3,0,0,1,1,2
"scaffold_74_partial_0_150574_23",1,0,0,0,1,2
"scaffold_74_partial_0_150574_24",0,0,8,0,0,0
"scaffold_74_partial_0_150574_25",1,0,3,0,4,1
"scaffold_74_partial_0_150574_26",0,0,2,0,0,0
"scaffold_74_partial_0_150574_27",0,0,3,0,4,0
"scaffold_74_partial_0_150574_28",0,0,1,0,0,0
"scaffold_74_partial_0_150574_29",5,2,3,4,4,0
"scaffold_74_partial_0_150574_30",0,0,6,2,19,7
"scaffold_74_partial_0_150574_31",0,0,1,0,0,0
"scaffold_74_partial_0_150574_32",3,1,1,0,1,1
"scaffold_74_partial_0_150574_33",0,0,3,0,2,0
"scaffold_74_partial_0_150574_34",0,0,2,0,0,1
"scaffold_74_partial_0_150574_35",2,0,2,0,3,2
"scaffold_74_partial_0_150574_36",0,0,0,0,1,0
"scaffold_74_partial_0_150574_37",0,0,1,0,0,0
"scaffold_74_partial_0_150574_38",0,0,0,0,0,0
"scaffold_74_partial_0_150574_39",0,0,0,0,0,0
"scaffold_74_partial_0_150574_40",0,0,0,0,0,0
"scaffold_74_partial_0_150574_41",0,0,0,0,0,0
"scaffold_74_partial_0_150574_42",0,0,0,0,4,0
"scaffold_74_partial_0_150574_43",0,0,0,0,0,0
"scaffold_74_partial_0_150574_44",3,0,0,0,1,0
"scaffold_74_partial_0_150574_45",2,0,5,0,2,0
"scaffold_74_partial_0_150574_46",1,2,6,2,5,10
"scaffold_74_partial_0_150574_47",2,0,13,5,7,12
"scaffold_74_partial_0_150574_48",0,0,0,0,1,0
"scaffold_74_partial_0_150574_49",0,0,0,0,0,0
"scaffold_74_partial_0_150574_50",0,0,1,0,0,0
"scaffold_74_partial_0_150574_51",3,0,2,0,1,0
"scaffold_74_partial_0_150574_52",1,3,8,0,1,0
"scaffold_74_partial_0_150574_53",0,3,8,1,7,1
"scaffold_74_partial_0_150574_54",0,0,0,0,0,0
"scaffold_74_partial_0_150574_55",2,0,13,0,0,2
"scaffold_74_partial_0_150574_56",0,0,1,0,0,0
"scaffold_74_partial_0_150574_57",0,0,10,5,5,1
"scaffold_74_partial_0_150574_58",0,1,16,2,2,6
"scaffold_74_partial_0_150574_59",2,8,30,7,9,6
"scaffold_74_partial_0_150574_60",0,0,0,0,0,0
"scaffold_74_partial_0_150574_61",0,2,0,0,3,0
"scaffold_74_partial_0_150574_62",0,0,0,0,0,0
"scaffold_74_partial_0_150574_63",0,0,3,0,2,4
"scaffold_74_partial_0_150574_64",3,0,17,2,3,2
"scaffold_74_partial_0_150574_65",0,0,2,0,1,0
"scaffold_74_partial_0_150574_66",0,0,0,0,0,0
"scaffold_74_partial_0_150574_67",0,0,0,0,0,0
"scaffold_74_partial_0_150574_68",0,0,0,0,0,0
"scaffold_74_partial_0_150574_69",0,0,0,0,0,0
"scaffold_74_partial_0_150574_70",0,0,3,1,2,2
"scaffold_74_partial_0_150574_71",5,1,9,2,0,1
"scaffold_74_partial_0_150574_72",0,0,0,0,0,0
"scaffold_74_partial_0_150574_73",10,1,44,0,7,2
"scaffold_74_partial_0_150574_74",4,0,12,4,11,1
"scaffold_74_partial_0_150574_75",0,0,0,0,0,0
"scaffold_74_partial_0_150574_76",5,0,16,1,0,3
"scaffold_74_partial_0_150574_77",0,0,8,0,13,9
"scaffold_74_partial_0_150574_78",24,5,65,6,12,7
"scaffold_74_partial_0_150574_79",0,0,5,1,0,0
"scaffold_74_partial_0_150574_80",1,0,2,3,4,0
"scaffold_74_partial_0_150574_81",0,0,2,1,4,5
"scaffold_74_partial_0_150574_82",2,0,2,1,1,4
"scaffold_74_partial_0_150574_83",0,0,7,0,0,0
"scaffold_74_partial_0_150574_84",0,0,1,0,7,0
"scaffold_74_partial_0_150574_85",0,0,0,0,0,0
"scaffold_74_partial_0_150574_86",0,0,5,0,1,1
"scaffold_74_partial_0_150574_87",0,0,0,0,2,2
"scaffold_74_partial_0_150574_88",0,0,5,0,0,1
"scaffold_74_partial_0_150574_89",0,0,0,0,0,0
"scaffold_74_partial_0_150574_90",0,0,2,0,0,0
"scaffold_74_partial_0_150574_91",0,0,2,1,0,0
"scaffold_74_partial_0_150574_92",0,0,5,0,0,4
"scaffold_74_partial_0_150574_93",2,0,3,1,2,0
"scaffold_74_partial_0_150574_94",0,0,0,0,0,0
"scaffold_74_partial_0_150574_95",0,1,6,1,1,2
"scaffold_74_partial_0_150574_96",2,0,3,1,7,0
"scaffold_74_partial_0_150574_97",0,0,0,0,0,0
"scaffold_74_partial_0_150574_98",0,0,0,0,1,0
"scaffold_74_partial_0_150574_99",1,0,0,0,4,0
"scaffold_74_partial_0_150574_100",0,0,1,0,0,0
"scaffold_74_partial_0_150574_101",0,0,2,0,0,0
"scaffold_74_partial_0_150574_102",3,0,0,0,1,0
"scaffold_74_partial_0_150574_103",2,0,2,0,1,0
"scaffold_74_partial_0_150574_104",0,0,13,0,0,0
"scaffold_74_partial_0_150574_105",0,0,0,0,5,0
"scaffold_74_partial_0_150574_106",1,0,5,0,8,0
"scaffold_74_partial_0_150574_107",0,0,9,2,15,0
"scaffold_74_partial_0_150574_108",0,1,1,4,4,2
"scaffold_74_partial_0_150574_109",0,0,0,0,1,0
"scaffold_74_partial_0_150574_110",0,0,0,0,0,0
"scaffold_74_partial_0_150574_111",0,0,0,1,2,0
"scaffold_74_partial_0_150574_112",0,0,0,0,0,0
"scaffold_74_partial_0_150574_113",0,0,8,0,3,1
"scaffold_74_partial_0_150574_114",0,1,8,0,0,3
"scaffold_74_partial_0_150574_115",0,0,0,0,0,0
"scaffold_74_partial_0_150574_116",0,0,0,0,0,1
"scaffold_74_partial_0_150574_117",0,0,0,0,0,0
"scaffold_74_partial_0_150574_118",0,0,0,0,0,0
