"","B1","B3","B4","E1","E2","E3"
"scaffold_5395_1",0,0,0,0,0,0
"scaffold_5395_2",0,0,0,0,0,0
"scaffold_5395_3",0,0,0,0,0,0
"scaffold_5395_4",0,0,0,0,0,0
"scaffold_5395_5",0,0,0,0,0,0
"scaffold_5395_6",0,0,0,0,0,1
"scaffold_5395_7",0,0,0,0,0,0
"scaffold_5395_8",0,0,0,0,0,0
"scaffold_5395_9",0,0,0,0,0,0
"scaffold_5395_10",0,0,0,0,0,0
"scaffold_5395_11",0,0,0,0,0,0
"scaffold_5395_12",0,0,0,0,0,0
"scaffold_51726_1",0,0,0,0,0,0
"scaffold_51726_2",0,0,0,0,0,0
"scaffold_54153_1",0,0,0,0,0,0
"scaffold_54153_2",0,0,0,0,0,0
"scaffold_54153_3",0,0,0,0,0,0
"scaffold_46581_1",0,0,0,0,0,0
"scaffold_46581_2",0,0,0,0,0,0
"scaffold_46581_3",0,0,3,0,0,0
"scaffold_25561_1",0,0,0,0,0,0
"scaffold_25561_2",0,0,0,0,0,0
"scaffold_25561_3",0,0,0,0,0,0
"scaffold_25561_4",0,0,0,0,0,0
"scaffold_25561_5",0,0,0,0,0,0
"scaffold_25561_6",0,0,0,0,0,0
"scaffold_53223_1",0,0,1,0,0,0
"scaffold_53223_2",0,2,0,0,0,0
"scaffold_68491_1",0,1,0,0,0,0
"scaffold_43648_1",0,0,1,0,0,0
"scaffold_43648_2",0,0,4,0,1,0
"scaffold_43648_3",0,0,0,0,0,0
"scaffold_42027_1",0,0,0,0,0,0
"scaffold_42027_2",0,0,1,0,0,0
"scaffold_42027_3",0,0,0,0,0,0
"scaffold_77990_1",0,0,0,0,0,0
"scaffold_77990_2",0,0,0,0,0,0
"scaffold_26323_1",0,0,0,0,0,0
"scaffold_26323_2",0,0,2,0,0,0
"scaffold_28813_1",0,0,0,0,0,0
"scaffold_28813_2",0,0,1,0,0,0
"scaffold_28813_3",0,0,1,0,0,0
"scaffold_38958_1",0,0,3,0,0,0
"scaffold_1371_1",0,0,0,0,0,0
