"","bin_000-contigs_B1","bin_000-contigs_B3","bin_000-contigs_B4","bin_000-contigs_E1","bin_000-contigs_E2","bin_000-contigs_E3"
"scaffold_898_63",0,0,0,0,0,0
"scaffold_898_64",0,0,0,0,0,0
"scaffold_898_65",0,0,0,0,0,0
"scaffold_898_66",0,0,0,0,0,0
"scaffold_898_67",0,0,0,0,0,0
"scaffold_58140_1",0,0,0,0,0,0
"scaffold_58140_2",0,0,0,0,0,0
"scaffold_74737_1",0,0,2,0,0,0
"scaffold_36786_1",0,0,0,0,0,0
"scaffold_36786_2",0,0,0,0,0,0
"scaffold_36786_3",0,0,0,0,0,0
"scaffold_66242_1",0,0,0,0,0,0
"scaffold_66242_2",0,0,0,0,0,0
"scaffold_66242_3",0,0,0,0,0,0
"scaffold_27388_1",0,0,0,0,0,0
"scaffold_27388_2",0,0,0,0,0,0
"scaffold_27388_3",0,0,1,0,0,0
"scaffold_27388_4",0,0,0,0,0,0
"scaffold_56972_1",0,0,0,0,0,0
"scaffold_56972_2",0,0,0,0,0,0
"scaffold_13118_1",0,0,0,0,0,0
"scaffold_13118_2",0,0,0,0,0,0
"scaffold_13118_3",0,0,0,0,0,0
"scaffold_13118_4",0,0,0,0,0,0
"scaffold_13118_5",0,0,0,0,0,0
"scaffold_79583_1",0,0,0,0,0,0
"scaffold_51646_1",0,0,0,0,0,0
"scaffold_51646_2",0,0,0,0,0,0
"scaffold_51646_3",0,0,0,0,0,0
"scaffold_87078_1",0,0,0,0,0,0
"scaffold_87078_2",0,0,0,0,0,0
"scaffold_31336_1",0,0,0,0,0,0
"scaffold_31336_2",0,0,0,0,0,0
"scaffold_31336_3",0,0,0,0,0,0
"scaffold_31336_4",0,0,0,0,0,0
"scaffold_71109_1",0,0,0,0,0,0
"scaffold_71109_2",0,0,0,0,0,0
"scaffold_48984_1",0,0,0,0,0,0
"scaffold_48984_2",0,0,0,0,0,0
"scaffold_48984_3",0,0,0,0,0,0
"scaffold_77632_1",0,0,0,0,0,0
"scaffold_60869_1",0,0,0,0,0,0
"scaffold_60869_2",0,0,0,0,0,0
"scaffold_62781_1",0,0,0,0,0,0
"scaffold_62781_2",0,0,0,0,0,0
"scaffold_3036_partial_21201_59030_1",0,0,3,2,0,0
"scaffold_3036_partial_21201_59030_2",0,0,2,0,5,1
"scaffold_3036_partial_21201_59030_3",1,0,32,1,18,12
"scaffold_3036_partial_21201_59030_4",0,2,1,0,2,0
"scaffold_3036_partial_21201_59030_5",0,0,5,0,2,1
"scaffold_3036_partial_21201_59030_6",0,0,3,0,3,0
"scaffold_3036_partial_21201_59030_7",0,0,6,0,3,0
"scaffold_3036_partial_21201_59030_8",0,0,0,0,0,1
"scaffold_3036_partial_21201_59030_9",0,0,2,0,0,0
"scaffold_3036_partial_21201_59030_10",0,1,3,0,1,0
