"","B1","B3","B4","E1","E2","E3"
"scaffold_528_1",0,0,0,0,0,0
"scaffold_528_2",0,0,0,0,0,0
"scaffold_528_3",0,0,9,0,0,0
"scaffold_528_4",0,0,0,0,0,0
"scaffold_528_5",0,0,0,0,0,0
"scaffold_528_6",0,0,0,0,0,0
"scaffold_528_7",0,0,0,0,0,0
"scaffold_528_8",0,0,2,0,0,0
"scaffold_528_9",0,0,0,0,0,0
"scaffold_528_10",0,0,0,0,0,0
"scaffold_528_11",0,0,0,0,0,0
"scaffold_528_12",0,0,1,0,0,0
"scaffold_528_13",0,0,0,0,0,0
"scaffold_528_14",0,0,1,0,0,0
"scaffold_528_15",0,0,0,0,0,0
"scaffold_528_16",0,1,0,0,0,0
"scaffold_528_17",0,0,0,0,0,0
"scaffold_528_18",0,0,0,0,0,0
"scaffold_528_19",0,0,1,0,0,0
"scaffold_528_20",0,0,0,0,0,0
"scaffold_528_21",0,0,0,0,0,0
"scaffold_528_22",0,0,2,0,0,0
"scaffold_528_23",0,0,4,0,0,0
"scaffold_528_24",0,0,2,0,0,0
"scaffold_528_25",0,0,2,0,0,0
"scaffold_528_26",0,0,0,0,0,0
"scaffold_528_27",0,0,3,0,0,0
"scaffold_528_28",0,1,1,0,0,0
"scaffold_528_29",0,0,0,0,1,0
"scaffold_528_30",0,0,0,0,0,0
"scaffold_528_31",0,0,1,0,0,0
"scaffold_528_32",0,0,7,2,1,0
"scaffold_528_33",0,0,0,0,0,0
"scaffold_528_34",0,0,0,0,0,0
"scaffold_528_35",0,0,1,0,0,0
"scaffold_528_36",0,0,2,0,0,0
"scaffold_528_37",0,0,4,0,0,0
"scaffold_528_38",0,0,1,0,0,0
"scaffold_528_39",0,3,2,0,2,0
"scaffold_528_40",0,0,2,0,1,0
"scaffold_528_41",0,0,0,0,0,0
"scaffold_528_42",2,0,0,1,0,1
"scaffold_528_43",0,0,1,0,0,1
"scaffold_528_44",0,0,0,0,0,0
"scaffold_528_45",4,2,27,0,1,2
"scaffold_528_46",0,0,0,0,0,0
"scaffold_528_47",2,1,5,4,0,0
"scaffold_528_48",0,0,0,0,0,0
"scaffold_528_49",0,0,0,0,0,0
"scaffold_528_50",0,0,1,0,1,0
"scaffold_528_51",0,0,0,0,0,0
"scaffold_528_52",0,0,0,0,0,0
"scaffold_528_53",0,0,5,0,0,0
"scaffold_528_54",0,0,0,0,0,0
"scaffold_528_55",0,0,3,0,0,0
"scaffold_528_56",0,0,3,0,0,0
"scaffold_528_57",0,0,0,0,0,0
"scaffold_528_58",0,0,1,0,1,0
"scaffold_528_59",0,1,4,0,0,0
"scaffold_528_60",0,0,0,0,0,0
"scaffold_528_61",0,0,1,0,0,0
"scaffold_528_62",0,0,1,0,0,0
"scaffold_528_63",0,0,2,4,1,3
"scaffold_528_64",0,0,0,0,0,0
"scaffold_528_65",0,0,0,0,0,0
"scaffold_528_66",0,0,1,0,0,0
"scaffold_528_67",0,0,0,0,0,0
"scaffold_528_68",0,0,1,0,0,0
"scaffold_528_69",0,1,2,0,0,0
"scaffold_528_70",0,0,0,0,0,0
"scaffold_528_71",0,0,0,0,0,0
"scaffold_528_72",0,0,0,0,0,0
"scaffold_1483_1",0,0,0,0,0,0
"scaffold_1483_2",0,0,0,0,0,0
"scaffold_1483_3",0,0,0,0,0,0
"scaffold_1483_4",0,0,0,0,0,0
"scaffold_1483_5",0,0,0,0,0,0
"scaffold_1483_6",0,0,0,0,0,0
"scaffold_1483_7",0,0,0,0,0,0
"scaffold_1483_8",0,0,0,0,0,0
"scaffold_1483_9",0,0,0,0,0,0
"scaffold_1483_10",0,0,0,0,0,0
"scaffold_1483_11",0,0,2,0,0,0
"scaffold_1483_12",0,0,0,0,0,0
"scaffold_1483_13",0,0,0,0,3,0
"scaffold_1483_14",0,0,2,0,0,0
"scaffold_1483_15",0,0,1,0,0,0
"scaffold_1483_16",0,0,2,0,2,0
"scaffold_1483_17",1,0,11,0,5,1
"scaffold_1483_18",0,0,5,0,1,0
"scaffold_1483_19",0,0,1,0,0,0
"scaffold_1483_20",0,0,1,0,0,0
"scaffold_1483_21",0,0,0,0,0,0
"scaffold_1483_22",0,0,0,0,0,0
"scaffold_1483_23",0,0,0,0,0,0
"scaffold_1483_24",0,0,0,2,1,1
"scaffold_1483_25",0,0,0,0,0,0
"scaffold_1483_26",0,0,0,0,0,0
"scaffold_1483_27",0,0,1,0,0,0
"scaffold_1483_28",0,0,0,0,0,0
"scaffold_1483_29",0,0,0,0,0,0
"scaffold_1483_30",0,0,3,0,0,0
"scaffold_1483_31",0,0,6,0,0,0
"scaffold_1483_32",0,0,0,0,0,0
"scaffold_1483_33",0,0,0,0,0,0
"scaffold_1483_34",0,0,1,0,0,0
"scaffold_1483_35",0,0,1,0,0,0
"scaffold_1483_36",0,0,0,0,0,0
"scaffold_1483_37",2,2,0,0,0,0
"scaffold_1483_38",0,1,1,0,0,0
"scaffold_1483_39",0,0,3,0,0,0
"scaffold_1483_40",0,0,1,0,0,0
"scaffold_1483_41",0,0,1,0,0,0
"scaffold_1483_42",0,0,0,0,0,0
"scaffold_1483_43",0,0,1,0,0,0
"scaffold_1483_44",0,0,0,0,0,0
"scaffold_1483_45",0,0,4,0,0,0
"scaffold_1483_46",0,0,3,0,0,0
"scaffold_1483_47",0,0,3,0,0,0
"scaffold_1483_48",0,0,0,0,1,0
"scaffold_1483_49",0,0,1,0,0,0
"scaffold_1483_50",0,0,2,0,2,0
"scaffold_1483_51",0,0,0,0,0,0
"scaffold_1483_52",0,0,0,0,0,0
"scaffold_1483_53",0,0,0,0,0,0
"scaffold_1483_54",0,0,1,0,0,0
"scaffold_1483_55",0,0,3,0,0,0
"scaffold_1483_56",0,0,0,0,0,0
"scaffold_1483_57",0,0,1,0,0,4
"scaffold_1483_58",0,0,0,0,0,0
"scaffold_1483_59",0,0,0,0,0,0
"scaffold_55_partial_0_21599_1",0,0,0,0,0,2
"scaffold_55_partial_0_21599_2",0,0,0,0,0,0
"scaffold_55_partial_0_21599_3",0,0,0,0,0,0
"scaffold_55_partial_0_21599_4",0,0,2,0,0,0
"scaffold_55_partial_0_21599_5",0,0,0,0,0,0
"scaffold_55_partial_0_21599_6",0,0,3,0,1,0
"scaffold_55_partial_0_21599_7",0,0,0,0,0,0
"scaffold_55_partial_0_21599_8",0,0,0,0,0,0
"scaffold_55_partial_0_21599_9",0,0,0,0,0,0
"scaffold_55_partial_0_21599_10",0,0,0,0,0,0
"scaffold_55_partial_0_21599_11",0,0,1,0,0,0
"scaffold_55_partial_0_21599_12",0,0,5,0,0,0
"scaffold_55_partial_0_21599_13",0,0,0,0,0,0
"scaffold_55_partial_0_21599_14",0,0,0,1,0,0
"scaffold_55_partial_0_21599_15",0,0,2,0,0,0
"scaffold_55_partial_0_21599_16",0,0,5,0,0,0
"scaffold_55_partial_0_21599_17",0,0,0,0,0,0
"scaffold_55_partial_0_21599_18",0,0,0,0,0,0
"scaffold_55_partial_0_21599_19",0,0,4,0,0,0
"scaffold_55_partial_0_21599_20",0,0,0,0,0,0
"scaffold_55_partial_0_21599_21",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_1",0,0,0,0,0,1
"scaffold_55_partial_42344_239533_2",0,0,3,0,0,0
"scaffold_55_partial_42344_239533_3",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_4",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_5",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_6",0,0,1,0,0,0
"scaffold_55_partial_42344_239533_7",0,2,0,0,0,0
"scaffold_55_partial_42344_239533_8",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_9",0,0,1,0,0,2
"scaffold_55_partial_42344_239533_10",0,0,1,0,0,0
"scaffold_55_partial_42344_239533_11",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_12",0,0,3,0,0,0
"scaffold_55_partial_42344_239533_13",0,1,3,0,0,0
"scaffold_55_partial_42344_239533_14",0,2,0,0,0,0
"scaffold_55_partial_42344_239533_15",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_16",0,0,1,0,0,0
"scaffold_55_partial_42344_239533_17",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_18",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_19",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_20",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_21",0,0,0,2,0,0
"scaffold_55_partial_42344_239533_22",0,0,1,0,0,0
"scaffold_55_partial_42344_239533_23",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_24",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_25",0,0,2,0,0,0
"scaffold_55_partial_42344_239533_26",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_27",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_28",0,0,1,0,0,0
"scaffold_55_partial_42344_239533_29",1,2,5,0,1,0
"scaffold_55_partial_42344_239533_30",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_31",0,0,3,0,0,0
"scaffold_55_partial_42344_239533_32",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_33",0,0,4,0,0,0
"scaffold_55_partial_42344_239533_34",0,1,0,0,0,0
"scaffold_55_partial_42344_239533_35",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_36",2,2,0,0,0,0
"scaffold_55_partial_42344_239533_37",0,0,0,0,2,0
"scaffold_55_partial_42344_239533_38",0,1,0,0,0,0
"scaffold_55_partial_42344_239533_39",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_40",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_41",0,0,2,3,3,1
"scaffold_55_partial_42344_239533_42",0,0,3,4,1,1
"scaffold_55_partial_42344_239533_43",0,0,2,0,0,0
"scaffold_55_partial_42344_239533_44",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_45",0,0,0,0,0,1
"scaffold_55_partial_42344_239533_46",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_47",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_48",0,0,0,1,0,0
"scaffold_55_partial_42344_239533_49",0,1,1,0,2,3
"scaffold_55_partial_42344_239533_50",0,0,2,0,2,0
"scaffold_55_partial_42344_239533_51",0,0,2,0,0,0
"scaffold_55_partial_42344_239533_52",0,0,1,0,0,0
"scaffold_55_partial_42344_239533_53",0,0,2,0,0,0
"scaffold_55_partial_42344_239533_54",0,3,0,0,0,0
"scaffold_55_partial_42344_239533_55",0,0,1,0,0,0
"scaffold_55_partial_42344_239533_56",0,0,2,0,2,0
"scaffold_55_partial_42344_239533_57",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_58",0,0,1,0,0,0
"scaffold_55_partial_42344_239533_59",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_60",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_61",0,0,7,0,0,2
"scaffold_55_partial_42344_239533_62",0,0,0,0,0,0
"scaffold_55_partial_42344_239533_63",0,0,7,0,2,1
