"","B1","B3","B4","E1","E2","E3"
"scaffold_24149_1",0,0,2,0,0,0
"scaffold_24149_2",0,0,0,0,0,0
"scaffold_24149_3",0,0,0,0,0,0
"scaffold_24149_4",0,0,0,0,0,0
"scaffold_24149_5",0,0,0,0,0,0
"scaffold_24149_6",0,0,0,0,0,0
"scaffold_24149_7",0,0,0,0,0,0
"scaffold_37144_1",0,0,0,0,0,0
"scaffold_37144_2",0,0,6,0,0,0
"scaffold_37144_3",0,0,2,0,0,0
"scaffold_37144_4",0,0,12,0,0,0
"scaffold_20460_1",0,0,0,0,0,0
"scaffold_20460_2",0,0,17,0,1,0
"scaffold_697_1",0,0,0,1,0,0
"scaffold_697_2",1,0,1,3,0,4
"scaffold_697_3",0,0,1,0,0,4
"scaffold_697_4",0,0,2,0,0,0
"scaffold_697_5",0,7,3,0,0,1
"scaffold_697_6",0,0,0,0,0,0
"scaffold_697_7",0,0,0,0,0,0
"scaffold_697_8",0,0,0,0,0,0
"scaffold_697_9",8,2,35,16,29,14
"scaffold_697_10",0,2,0,0,0,0
"scaffold_697_11",0,5,12,0,0,0
"scaffold_697_12",0,0,1,1,1,0
"scaffold_697_13",0,2,14,0,0,2
"scaffold_697_14",0,1,3,0,0,0
"scaffold_697_15",0,0,13,0,2,3
"scaffold_697_16",0,0,5,0,0,0
"scaffold_697_17",0,0,5,0,1,2
"scaffold_697_18",0,1,9,0,2,8
"scaffold_697_19",0,0,0,0,0,0
"scaffold_697_20",0,0,0,0,0,2
"scaffold_697_21",0,0,2,0,2,0
"scaffold_697_22",1,0,1,0,0,0
"scaffold_697_23",0,1,0,0,0,0
"scaffold_697_24",0,0,5,0,0,0
"scaffold_697_25",0,0,1,0,0,3
"scaffold_697_26",0,0,3,0,0,0
"scaffold_697_27",0,0,2,0,0,0
"scaffold_697_28",3,0,5,6,4,0
"scaffold_697_29",0,1,5,2,2,2
"scaffold_697_30",0,0,0,0,1,0
"scaffold_697_31",0,0,2,0,0,0
"scaffold_697_32",0,0,6,0,0,1
"scaffold_697_33",0,0,0,2,0,2
"scaffold_697_34",0,3,7,0,5,2
"scaffold_697_35",0,2,0,0,0,0
"scaffold_697_36",2,0,1,0,1,0
"scaffold_697_37",0,0,27,2,1,1
"scaffold_697_38",0,0,0,0,0,0
"scaffold_697_39",0,0,0,0,1,0
"scaffold_697_40",0,0,0,0,0,0
"scaffold_697_41",1,0,0,0,1,0
"scaffold_697_42",0,1,2,0,0,1
"scaffold_697_43",0,2,1,1,0,0
"scaffold_697_44",0,0,2,0,2,0
"scaffold_697_45",0,0,5,2,6,0
"scaffold_697_46",0,0,5,0,0,0
"scaffold_697_47",0,0,0,0,0,0
"scaffold_697_48",1,4,3,0,1,1
"scaffold_697_49",0,0,2,0,7,0
"scaffold_697_50",2,1,1,0,3,0
"scaffold_697_51",0,0,1,1,0,0
"scaffold_697_52",1,0,2,0,0,0
"scaffold_697_53",0,1,6,0,4,6
"scaffold_697_54",0,0,2,0,1,0
"scaffold_697_55",0,0,0,0,0,0
"scaffold_697_56",0,3,0,0,0,0
"scaffold_697_57",0,0,5,0,0,0
"scaffold_697_58",0,0,0,0,0,0
"scaffold_697_59",0,0,0,0,0,0
"scaffold_697_60",0,1,4,0,0,0
"scaffold_697_61",0,0,3,0,0,0
"scaffold_697_62",0,0,2,0,1,0
"scaffold_697_63",0,0,0,0,0,0
"scaffold_697_64",0,0,2,0,0,0
"scaffold_697_65",0,0,0,0,0,0
"scaffold_697_66",0,0,0,0,0,0
"scaffold_697_67",0,0,3,1,0,0
"scaffold_697_68",0,0,0,0,0,0
"scaffold_697_69",0,0,6,0,0,1
"scaffold_697_70",0,0,2,0,0,0
"scaffold_697_71",0,0,2,0,0,2
"scaffold_697_72",0,0,3,0,0,0
"scaffold_697_73",0,0,0,0,0,0
"scaffold_697_74",0,0,0,0,0,0
"scaffold_697_75",0,0,3,0,0,0
"scaffold_697_76",0,0,0,0,0,0
"scaffold_697_77",0,0,0,0,0,0
"scaffold_697_78",0,0,0,0,0,0
"scaffold_697_79",0,1,0,0,0,0
"scaffold_697_80",0,0,0,0,0,0
"scaffold_697_81",0,0,1,0,0,0
"scaffold_697_82",0,1,0,0,0,0
"scaffold_697_83",0,3,1,0,0,0
"scaffold_697_84",0,0,5,0,0,0
"scaffold_8358_1",0,0,0,0,0,0
"scaffold_8358_2",0,0,1,0,0,0
"scaffold_8358_3",0,0,6,0,1,0
"scaffold_8358_4",0,1,5,0,0,0
"scaffold_8358_5",0,0,0,0,0,0
"scaffold_8358_6",0,0,2,0,0,0
"scaffold_2633_1",0,0,0,0,0,0
"scaffold_2633_2",0,0,2,0,0,0
"scaffold_2633_3",0,0,0,0,0,0
"scaffold_2633_4",0,0,0,0,0,0
"scaffold_2633_5",0,0,0,0,0,0
"scaffold_2633_6",0,0,0,0,0,0
"scaffold_2633_7",0,0,0,0,0,0
"scaffold_2633_8",0,0,0,0,0,0
"scaffold_2633_9",0,0,0,0,0,0
"scaffold_2633_10",0,0,0,0,0,0
"scaffold_2633_11",0,0,3,0,0,0
"scaffold_2633_12",0,0,0,0,0,0
"scaffold_2633_13",0,0,0,0,0,0
"scaffold_2633_14",0,0,0,0,0,0
"scaffold_2633_15",0,0,0,0,0,0
"scaffold_2633_16",0,0,3,0,0,0
"scaffold_2633_17",0,0,2,0,0,0
"scaffold_2633_18",0,0,0,0,0,0
"scaffold_2633_19",0,0,0,0,0,0
"scaffold_2633_20",0,0,0,0,0,0
"scaffold_2633_21",0,0,0,0,0,0
"scaffold_2633_22",0,0,4,0,0,0
"scaffold_2633_23",0,1,1,0,0,0
"scaffold_2633_24",0,0,0,0,0,0
"scaffold_2633_25",0,0,1,0,0,0
"scaffold_2633_26",0,0,3,0,3,0
"scaffold_2633_27",0,0,5,0,0,0
"scaffold_2633_28",0,0,3,0,0,0
"scaffold_2633_29",0,0,0,0,0,0
"scaffold_2633_30",0,0,8,0,0,0
"scaffold_2633_31",0,0,0,0,0,0
"scaffold_2633_32",0,0,0,0,0,0
"scaffold_2633_33",0,0,3,0,0,0
"scaffold_2633_34",0,0,0,0,0,0
"scaffold_2633_35",0,0,1,0,0,0
"scaffold_2633_36",0,0,2,0,0,0
"scaffold_2633_37",0,0,22,0,0,0
"scaffold_2633_38",0,0,5,0,0,0
"scaffold_2633_39",0,0,0,0,0,0
"scaffold_2633_40",0,0,2,0,0,0
"scaffold_2633_41",0,0,1,0,0,0
"scaffold_2633_42",0,0,0,0,0,0
"scaffold_2633_43",0,0,0,0,0,0
"scaffold_2633_44",0,0,0,0,0,0
"scaffold_2633_45",0,0,0,0,0,0
"scaffold_2633_46",0,0,0,0,0,0
"scaffold_52451_1",0,0,0,0,0,0
"scaffold_52639_1",0,0,0,0,0,0
"scaffold_14923_1",0,0,0,0,0,0
"scaffold_14923_2",0,0,0,0,0,0
"scaffold_14923_3",0,0,0,0,0,0
"scaffold_14923_4",0,0,0,0,0,0
"scaffold_14923_5",0,0,0,0,0,0
"scaffold_50529_1",0,0,0,0,0,0
"scaffold_50529_2",0,0,1,0,0,0
"scaffold_50529_3",0,0,1,0,0,0
"scaffold_57248_1",0,0,0,0,0,0
"scaffold_57248_2",0,0,1,0,0,0
"scaffold_14886_1",0,0,1,0,0,0
"scaffold_14886_2",0,0,0,0,0,0
"scaffold_14886_3",0,0,0,0,0,0
"scaffold_14886_4",0,0,0,0,0,0
"scaffold_60088_1",0,0,14,0,0,0
"scaffold_60088_2",0,0,0,0,0,0
"scaffold_52166_1",0,0,3,0,0,0
"scaffold_79485_1",0,0,0,0,0,0
"scaffold_9618_1",0,0,0,0,0,0
"scaffold_9618_2",0,0,0,0,0,0
"scaffold_9618_3",0,0,0,0,0,0
"scaffold_9618_4",0,0,0,0,0,0
"scaffold_9618_5",0,0,0,0,0,0
"scaffold_9618_6",0,0,0,0,0,0
"scaffold_9618_7",0,0,6,0,0,0
"scaffold_9618_8",0,1,7,0,0,0
"scaffold_9618_9",0,0,0,0,0,0
"scaffold_9618_10",0,0,0,0,0,0
"scaffold_9618_11",0,0,0,0,0,0
"scaffold_9618_12",0,0,0,0,0,0
"scaffold_9618_13",0,0,0,0,0,0
"scaffold_9618_14",0,0,0,0,0,0
"scaffold_9618_15",0,0,0,0,0,0
"scaffold_9618_16",0,0,0,0,0,0
"scaffold_9618_17",0,0,0,0,0,0
"scaffold_64246_1",0,0,2,0,0,0
"scaffold_21252_1",0,0,0,0,0,0
"scaffold_21252_2",0,0,0,0,0,0
"scaffold_21252_3",0,0,0,0,0,0
"scaffold_21252_4",0,0,0,0,0,0
"scaffold_21252_5",0,0,0,0,0,0
"scaffold_21252_6",0,0,0,0,0,0
"scaffold_21252_7",0,0,0,0,0,0
"scaffold_21252_8",0,0,0,0,0,0
"scaffold_21648_1",0,0,3,0,0,0
"scaffold_21648_2",0,0,0,0,0,0
"scaffold_20675_1",0,0,4,0,0,0
"scaffold_20675_2",0,0,1,0,0,0
"scaffold_20675_3",0,0,1,0,0,0
"scaffold_20675_4",0,0,0,0,0,0
"scaffold_15393_1",0,0,0,0,0,0
"scaffold_15393_2",0,0,0,0,0,0
"scaffold_15393_3",0,0,0,0,0,0
"scaffold_15393_4",0,0,3,0,0,0
"scaffold_15393_5",0,0,0,0,0,0
"scaffold_15393_6",0,0,0,0,0,0
"scaffold_15393_7",0,0,0,0,0,0
"scaffold_18539_1",0,0,3,0,0,0
"scaffold_18539_2",0,4,1,0,0,0
"scaffold_55635_1",0,0,0,0,0,0
"scaffold_58076_1",0,0,0,0,0,0
"scaffold_4724_1",0,0,0,0,0,0
"scaffold_4724_2",0,0,0,0,0,0
"scaffold_4724_3",0,0,0,0,0,0
"scaffold_4724_4",0,0,0,0,0,0
"scaffold_4724_5",0,0,0,0,0,0
"scaffold_4724_6",0,0,0,0,0,0
"scaffold_4724_7",0,0,0,0,0,0
"scaffold_4724_8",2,0,0,0,1,0
"scaffold_4724_9",0,0,0,0,0,2
"scaffold_4724_10",0,0,1,0,1,3
"scaffold_4724_11",0,1,0,0,2,0
"scaffold_4724_12",0,0,0,0,0,0
"scaffold_4724_13",1,0,0,0,3,2
"scaffold_4724_14",0,0,0,0,0,0
"scaffold_4724_15",1,0,1,0,0,0
"scaffold_4724_16",2,0,0,0,0,0
"scaffold_4724_17",0,0,0,0,0,0
"scaffold_4724_18",0,0,0,0,0,0
"scaffold_4724_19",0,0,0,0,0,0
"scaffold_11547_1",0,0,3,0,0,0
"scaffold_11547_2",0,0,0,0,0,0
"scaffold_11547_3",0,0,0,0,0,0
"scaffold_11547_4",0,0,0,0,0,0
"scaffold_11547_5",0,0,0,0,0,0
"scaffold_11547_6",0,0,0,2,1,0
"scaffold_11547_7",0,0,0,0,0,0
"scaffold_11547_8",0,0,0,0,0,0
"scaffold_11547_9",0,0,0,0,0,0
"scaffold_11547_10",0,0,0,0,0,0
"scaffold_46329_1",0,0,1,0,0,0
"scaffold_50625_1",0,0,1,0,0,0
"scaffold_50625_2",0,0,0,0,0,0
"scaffold_50625_3",0,0,0,0,0,0
"scaffold_72891_1",0,0,0,0,0,0
"*",0,0,0,0,0,0
